recid,givenname,surname,suburb,pc
3851219,ganesh,mclennan,st andrews,3761
6178297,shaulmeir,cooper,north turramurra,2074
1785667,my,thorp,watsons bay,2030
2515933,jacinta,duffy,naremburn,2065
2704350,thomas,anderson,victoria park,6100
2671585,lindsey,jacka,grovedale,3216
4588514,klaus,gray,seven hills,2147
3261414,kenneth,ireland,glenorchy,7010
1737705,brooke,pipinis,barmera,5345
6104045,sarah,walker,north haven,5018
6448111,john,behrens,fitzroy,3065
3515379,addolorata,cresser,woodridge,4114
1966249,ibrahim,wanless,croydon,2132
6767610,kim,foo,wentworthville,2145
714239,aiva,reed,carrum,3197
1065991,william,spears,tahmoor,2573
3982346,lian,sumer,cheltenham,3192
4637710,ping,mcewan,camp hill,4152
3630098,yun,macroyannis,fairfield west,2165
156692,margaret,mcconnell,highfields,4352
5317653,edward,hodge,busselton west,6280
2704406,gregory,lieschke,mitchelton,4053
5913433,peter,conti,rangeway,6530
6059525,simone,rao,burwood,2134
4465702,caroline,cruickshank,gwelup,6018
5858343,brendan,wilson,eltham,3095
4465704,robert,staunton,trott park,5158
5014569,grace,hartleif,st albans,3021
1754157,maxwell,canario,liverpool,2170
2647088,christine,flewell-smith,wamuran,4512
2155569,jeanette,jefferies,algester,4115
672818,terry,priest,gumdale,4154
5235764,rebecca,talarico,warners bay,2282
1467446,lorraine,jeffree,pipers flat,2847
1074239,jasbir,clarke,chinchilla,4413
3990596,paul,anns,thornlie,6108
3646534,peter,lawler,tathra,2550
2704455,mee,bowen,salisbury,4107
5705911,paul,davis,mooloolaba,4557
3015757,betty,bradshaw,campbell,2612
4203599,shanthikumar,hewett,kingston se,5275
4465745,christopher,yuan,runcorn,4113
672853,robert,allan,north hobart,7000
6816855,desmond,valerie,woodend,3442
2499672,robert,georgiou,camberwell,3124
1025121,ivan,blencowe,balmoral,3407
1024187,sharon,byrne,beaumaris,3193
5448804,terry,ampfea,strathmore,3041
6857497,maureen,dowling,cremorne,2090
3949673,homera,mcgrath,ballajura,6066
2786410,jenny,mulqueeney,maroota,2756
386158,donald,gobrota,somerville,3912
365839,claire,syed,murrumbeena,3163
3212404,kumi,walters,north perth,6006
3236981,robert,stephenson,lake placid,4878
5637240,jane,gebrail,liverpool,2170
4269178,diane,tassanyi,camberwell,3124
1844354,carol,pirika,sunrise beach,4567
6161542,huijin,cehic,bexley,2207
5448840,lawrence,fleetwood,ingleburn,2565
2147467,roland,muller,allawah,2218
5424270,kenneth,morrison,northcote,3070
6833296,tyrone,holmes,angaston,5353
5866641,jing,sheppard,lower templestowe,3107
3359895,kathryn,thomas,mooroobool,4870
6726818,scott,hooper,condell park,2200
6882472,mary,gosis,vineyard,2765
4408490,richard,ashford,wellard,6170
1688748,joanne,pogue,mooroopna,3629
5874861,fulvio,mcdonald,burrum heads,4659
3073204,clive,ledwich,fig tree pocket,4069
2417848,amandajayne,wright,port macquarie,2444
1746105,ruth,peut,raymond terrace,2324
4179134,cristina,kennedy,bongaree,4507
353474,stanley,harrison,jubilee pocket,4802
2475204,edward,conn,burleigh heads,4220
722119,todor,mullett,devonport,7310
4252879,jessie,harpley,penrith,2750
2073809,alice,moir,quinns rocks,6030
5186774,gary,flanagan,bendigo,3550
5440727,vincenzo,vickery,tamworth,2340
697561,akshay,anthony,coogee,2034
566494,dorothy,dally,chatswood,2067
967909,dennis,scantlebury,alice springs,0870
4728039,dion,ryan,burpengary,4505
6431977,robert,ball,stawell,3380
1377524,lindsay,travers,gordon,2072
5276923,karen,harvey,torquay,4655
3310852,michael,sequeira,st marys,2760
2409735,barbara,dicks,craigie,6025
6907144,brenda,andrews,adamstown heights,2289
6283479,janet,halliwell,nelly bay,4819
5940496,dong,varney,laidley,4341
6096148,robin,jadav,seven hills,2147
3441942,timothy,prinsen,revesby,2212
2450714,susan,thornhill,joondalup,6027
6284847,edward,barlow,carlingford,2118
1926431,christine,kenyon,dalby,4405
1377568,melissa,meehan,mount druitt,2770
1992241,peter,philp,karragarra island,4184
5113140,bartholomew,kerr,kincumber,2251
4441401,andrew,von-stoll,laverton south,3028
6440167,jenice,gange,kingsley,6026
4744514,duncan,kay,kilsyth,3137
4916558,peter,berwick,devonport,7310
443730,marinda,rundell,maroubra,2035
5858649,ron,bell,busselton,6280
34138,martha,bate,mount stuart,7000
2147685,ron,riches,victor harbor,5211
2139495,beverly,ryder,flaxley,5153
3016040,inna,mahoney,mount gambier,5290
4687209,mercey,johnson,willagee,6156
1656177,cornelia,pilcher,bendigo,3550
1754483,alice,skalicky,mermaid beach,4218
2131321,aileen,zheng,lidcombe,2141
4998527,carolyn,beahan,greystanes,2145
4629888,richard,mitchell,yandina,4561
711574,caroline,jubb,hexham,3273
1189263,darshikka,collison,woodbine,2560
5129618,jane,junor,rozelle,2039
3425693,david,mccormick,downer,2602
3474853,susan,fletcher,judbury,7109
3098026,stella,eckert,marion,5043
6718891,samuel,newell,wallan,3756
5490096,richard,lewis,rivervale,6103
2344520,laurie,kherkhan,auburn,2144
4597171,lina,houldsworth,nowra,2541
1975736,pauline,martin,doncaster,3108
17854,paul,channells,parap,0820
4703688,kenneth,lea,bangalow,2479
3442123,guillaume,dillon,bunbury east,6230
6429602,gayle,mansfield,st georges,5064
1074641,julie,sideris,victor harbor,5211
4933084,helen,hecker,maryborough,4650
5334498,bradley,kaye-ivitu,boondall,4034
3058864,kathryn,nicholson,glen iris,3146
3237348,janelle,stoff,wynnum north,4178
1172972,renato,taskiroglu,dandenong,3175
263663,amanda,hobson,eimeo,4740
2393589,sophie,molinaro,reservoir,3073
206326,foong,churchin,gymea bay,2227
140793,michael,bishop,elliott heads,4670
1484283,suzanne,mckee,reservoir,3073
1656317,glenda,james,reservoir,3073
75349,scott,davey,brahma lodge,5109
2074113,gordon,d'ardenne,netherby,5062
1795587,joan,mercer,engadine,2233
5531140,matilde,jenner,castle hill,2154
894470,julieanne,kirk,eaton,6232
6415882,david,jensen,tregeagle,2480
744365,david,hii,west hobart,7000
5580304,katja,young,zillmere,4034
3048982,robert,puhovac,frankston,3199
4638233,violet,furneaux,brighton,3186
6645277,peta,gilligan,blacksmiths,2281
3606046,kym,sanderson,morningside,4170
5482026,quang,connell,bankstown,2200
6604332,philip,woerle,nightcliff,0810
6503346,peggy,connell,norah head,2263
5219886,ross,lilley,frankston,3199
648751,maureen,thomson,croydon,3136
5121585,judith,thexton,warragul,3820
3679797,hank,walker,wilson,6107
3895561,sally,alder,murwillumbah,2484
2049598,robert,fitzsimmons,forsayth,4871
4974143,angela,wang,north perth,6006
5490240,hemalatha,hampson,bundaberg,4670
5719617,thomas,justice,singleton,2330
6555208,jane,stephenson,leichhardt,2040
5310030,sesirekha,wyness,burleigh heads,4220
1427028,chao,finnegan,beverley park,2217
5432917,catherine,bearman,attadale,6156
3245654,david,baba,canley vale,2166
5539422,wanda,hoffman,ross creek,3351
5047905,joan,tsintsiras,hillside,3037
5236322,yvette,bastiani,vermont south,3133
4351588,judith,magill,como,6152
697965,sylvie,polites,somerton park,5044
2766440,vivienne,burke,bathurst,2795
1525363,janet,bonnell,hoddles creek,3139
5049278,ian,hadaway,elermore vale,2287
2582139,daniel,lawson,runcorn,4113
4646526,alan,cordon,red banks,5502
5564031,antonio,heidrich,st albans,3021
1123969,joanne,peterssen,balnarring,3926
2555482,susan,mcbryde,sarina,4737
6190700,asoka,petridis,seaton,5023
4884114,gary,de ramus,bunbury,6230
231059,stephen,sykes,gooseberry hill,6076
5197654,catherine,isaacs,maylands,6051
6784666,susan,gregory,sandy bay,7006
6866588,nicholas,scott,weston,2326
2706059,michael,duroux,pittsworth,4356
2358214,agnes,fernandes,bexley,2207
353905,john,wigg,risdon vale,7016
5375657,sean,byrne,tully,4854
3376810,colin,curcuruto,gordonvale,4865
2057899,pamela,camporeale,st morris,5068
1222317,amaro,whitty,south yarra,3141
5449391,michael,billing,yenda,2681
239280,patricia,milledge,malvern,3144
2426545,chitra,bonar,moonee ponds,3039
2918073,samantha,bogdanec,cabramatta,2166
6432446,donald,dove,mosman park,6012
3966656,marie,emery,murwillumbah,2484
2672335,lie,o'malley,penrith park,2750
386772,pamela,jackson,busselton,6280
1337046,colin,cairns,leeming,6149
1672920,john,cockley,merrylands,2160
5752538,angela,tenaglia,thornleigh,2120
6694621,cheryl,gregg,hampton,3188
4122337,jill,trew,brighton,3186
902882,cheryl,johnson,crib point,3919
6366952,jin,porter,carindale,4152
2189037,sylvia,hargreaves,mount larcom,4695
6342383,john,malady,west wollongong,2500
5793522,noela,sara,st albans,3021
9854,nam,jarman,ballina east,2478
6194934,gary,rallings,port hacking,2229
1820407,janice,young,ebbw vale,4304
3426047,gerald,ng,wantirna,3152
3974915,phyllis,eversden,quinns rocks,6030
2123524,rose,chant,mount gambier,5290
3573509,jaroslav,bertrand,south yarra,3141
4482822,shane,mcmahon,bondi,2026
1500940,madeleine,shepherd,orange,2800
5154575,tony,waldron,blackburn,3130
3764526,lana,clement,killara,2071
4368150,pui,young,taigum,4018
4228889,amanda,mills,toora,3962
5065690,brian,gascoigne,rowville,3178
1066793,annette,evans,narangba,4504
1345322,alfonso,moodie,humpty doo,0836
6899504,axsel,salt,kirribilli,2061
75570,brent,fowles,clarendon,5157
809951,roberto,terkuile,caulfield,3162
1853244,william,mcdougall,wembley,6014
1541960,stephen,o'loughlin,kalgoorlie,6430
3114825,frederick,wolters,campbelltown,2560
6776651,raymond,dansie,sellicks beach,5174
247629,janette,maddock,mukinbudin,6479
6465360,sundramma,spelleken,wandal,4700
952146,gabrielle,sturgeon,hawker,2614
4892505,marjorie,o'rourke,strathmore,3041
4089692,ross,birchall,high wycombe,6057
2795360,charles,boys,morwell,3840
5826402,trang,folbigg,warners bay,2282
3376995,sharon,hatton,tuggerawong,2259
1099623,gary,klyscz,hoppers crossing,3029
3491694,bernard,newbery,monash,2904
5611838,luize,pattison,cheltenham,3192
3737463,adriana,spicer,talbot,3371
4417402,rocco,smetana,glenbrook,2773
4335486,tracy,mace,amberley,4306
2131840,yvette,reid,hillman,6168
2680710,sylvia,luckett,campbelltown,5074
6047624,marcus,rechichi,peppermint grove,6011
5594288,eileen,wickberg,blackburn,3130
4007828,joan,miller,swan reach,5354
67477,annette,carpenter,mansfield,3724
5769111,fergal,perram,banora point,2486
10137,robbert,davis,kempsey,2440
2156442,landon,kudryavtsev,burnside,3023
5760666,qun,pritchard,noonamah,0837
4661573,pamela,yurman,alfredton,3350
673696,rita,brewer,rockhampton,4700
4204451,shirley,whiting,lane cove,2066
6686630,bradley,clothier,canning vale,6155
6404453,peter,kenny,harvey,6220
6055848,gordon,nguyen,parafield gardens,5107
5326762,susan,osmonad,lake illawarra,2528
1550258,maria,anderson,matraville,2036
3852211,alan,mccumstie,derby,6728
4589495,kevin,hughes,blaxland,2774
1058749,amanda,cole,toowong,4066
359413,jocelyn,de little,lindisfarne,7015
5605312,caroline,kelly,noble park,3174
6518433,dianne,bonato,endeavour hills,3802
1312717,paul,wigley,concord,2137
2656207,megan,guster,forest hill,3131
2639826,peter,tirdabjaja,fairfield,2165
2017236,gary,conlon,the gap,4061
5474262,wai,fang,richmond,3121
738489,suhsien,boundy,lesmurdie,6076
2148317,helen,forbes,windsor,3181
6631760,david,mazalevskis,forrestfield,6058
3459045,joan,molloy,narangba,4504
4312060,sellayah,scott,clarence gardens,5039
5433328,dolores,elbayeh,ermington,2115
460458,philomena,healy,pacific paradise,4564
2459647,clifford,hargraves,windsor,4030
239618,rosemary,scott,epping,2121
3123205,jenni,bouquet,padstow,2211
1435659,susan,webster,kingsford,2032
2664463,terence,smith,port lincoln,5606
3631122,oliver,mcdonald,fairfield heights,2165
4237332,donald,sauerwald,st kilda,3182
2131995,kenneth,bach,moonee ponds,3039
813087,david,hallett,redcliffe,4020
6826020,evelyn,klye,hillwood,7252
6662184,kenneth,streater,currumbin,4223
6817834,adrian,spurge,kingston,7051
3352623,ian,johnson,ivanhoe,2878
3344433,pattiann,moran,penrith,2750
3917878,suzanne,whiteley,carrara,4211
3524663,susan,irving,tootgarook,3941
2050114,angelo,cusio,kedron,4031
2862091,richard,greenland,woollahra,2025
5081156,leanne,bates,o'malley,2606
6228044,gabbrielle,redmond,burnside,5066
6416466,joyce,hann,cadell,5321
3549269,brenda,johnston,orange,2800
2549847,yan,andrews,murwillumbah,2484
1075289,glenn,richardson,altona,3018
3737690,peter,tate,bellevue hill,2023
1271899,zhi,clark,spearwood,6163
1591391,paul,ly,deer park,3023
4614240,hsiang,llamas,macgregor,4109
927842,dennis,braybrook,newport,3015
4425831,brendan,seschy,auburn,2144
5154922,janet,beven,east risdon,7017
2099308,ajith,riviere,valley view,5093
1517677,helen,payard,airville,4807
1304686,robert,perkins,lindisfarne,7015
2492539,arthur,sawarsin,chipping norton,2170
3090556,renata,kerslake,ravenswood,7250
3311741,anthony,dorr,bray park,4500
1591422,craig,bawden,albion,4010
6504026,jennifer,mitchell,wyoming,2250
1452167,adrian,wilson,moama,2731
6326411,janice,tiffin,meander,7304
6891660,annemarie,milde,golden grove,5125
4276589,vanessa,cunningham,cabramatta,2166
5458064,paul,liberts,epping,2121
1665174,virana,west,nightcliff,0810
5879492,mary,hvala,epping,3076
4589727,sarah,martin,belrose,2085
2508961,minh,robinson,north richmond,2754
6776994,lan,anderson,salisbury,4107
1239203,barbara,steel,bellevue hill,2023
3106980,gerry,thomson,exeter,5019
3508394,lisa,thorburn,greenbank,4124
3934382,margaret,woods,bowral,2576
567471,john,reidy-crofts,high wycombe,6057
5286066,susan,chambers,east victoria park,6101
4507827,fre,wallace,bonnyrigg,2177
1353908,lauren,le souef,scarborough,6019
3664055,francesca,crawford,balgowlah,2093
788664,peter,hannan,bondi,2026
3786941,andrew,pinn,burraneer,2230
4630725,silke,stroud,caringbah,2229
6113489,wayne,powell,north rockhampton,4701
5638358,peter,travaglini,lathlain,6100
4827353,joyce,duffy,sale,3850
1829083,tania,syamal,south perth,6151
4770012,lurline,collis,st james,6102
1665249,gunseli,stines,conder,2906
1992946,david,craig,oatlands,2117
6269171,lourdes,edwards,wauchope,2446
1452277,willem,weintraub,elsternwick,3185
575736,paul,french,tuart hill,6060
1640697,catherine,shalal,greenwith,5125
1715242,john,spoto,burwood,2134
1632511,leo,rodan,alexandra,3714
4843776,lazaros,bounds,willoughby,2068
2442966,margaret,how,scullin,2614
2337032,david,deprazer,springvale,3171
5785866,darren,wheeler,dudley south,3995
1100043,bradley,hall,hawthorn,3122
6523148,raymond,holton,padbury,6025
1673486,stan,mcinnes,heyfield,3858
3393807,leigh,tiang,winthrop,6150
2492688,peter,pride,liberty grove,2138
6162136,pek,welsh,camp hill,4152
6506770,debra,mckenzie,ormond,3204
4704535,magnus,nelson,taree,2430
559391,joanne,pierpoint,woonona,2517
6121766,marina,provost,andergrove,4740
1206570,nathan,jallali,lane cove,2066
223531,gerard,alcock,greenwood,6024
526637,judith,dellar,lennox head,2478
231726,janine,speirs,endeavour hills,3802
3803439,amedeo,lonergan,brunswick,3056
6013320,bernice,stringer,bardon,4065
3737909,rosemary,pham,maroubra,2035
698683,kim,graham,toorak,3142
1558845,chris,collins,bonville,2441
6834495,marjorie,sendy,maslin beach,5170
3213025,nola,jones,ringwood east,3135
2115912,julie,dowling,mount garnet,4872
1083722,craig,slattery,clare,5453
4655435,ralph,nielsen,chifley,2606
4049228,christine,dawes,mascot,2020
2009423,pat,eastman,reynella,5161
1575249,warrick,miller,rowville,3178
1575251,samantha,quinlan,meringandan,4352
6785365,helga,nguyen,ottoway,5013
6089054,janelle,keller,helensvale,4210
693479,cyril,tweddle,lismore,3324
6506850,lindsay,geoghegan,alexandra,3714
5119035,susan,medway,bathurst,2795
4737387,valerie,bell,oakleigh,3166
2328949,violet,wilson,moulamein,2733
3672440,sharon,morton,perth,6000
6482299,richard,scully,mulgrave east,3170
1812860,michelle,yuen,runcorn,4113
5781226,ivy,rouse,prahran,3181
2607493,tony,patrick,essendon,3040
51590,sam,carrozza,ashbury,2193
2591111,mirco,cook,hampton,3188
2279820,alan,hillyer,ferntree gully,3156
6351245,charles,fozard,rosebud,3939
3262866,ben,farmer,terranora,2486
6449557,dawn,knapp,beerwah,4519
4352417,ursula,lange,nunawading,3131
2910628,rhonda,fraser,enoggera,4051
1244230,paul,watson,mosman,2088
6826407,sallyanne,phan,canley vale,2166
