recid,givenname,surname,suburb,pc
4522187,rashaad,fisher,budgewoi,2262
5529806,alfred,bassett,castlemaine,3450
6453965,beth,korol,randwick,2031
278738,michael,collins,dolans bay,2229
1622228,terrance,palumbo,highbury,5089
3645659,gabrielle,madden,camden,2570
5996767,virginia,rickard,indented head,3223
922285,beverley,francois,cornubia,4130
4120804,vivian,sawyer,thomastown,3074
5644527,jack,semashko,northfield,5085
1016049,brian,copeland,cannonvale,4802
860402,xuan,squatrito,essendon,3040
336115,ratna,baird,adelaide,5000
1614069,mary,hooper,maddington,6109
1990906,jozef,de rooy,birkdale,4159
4006139,lynette,riger,penrith,2750
3588348,sheila,robb,leabrook,5068
5583321,jillian,vella,westmead,2145
3744007,jasjit,shuttleworth,nerang,4211
5505288,mark,thirkell,maryland,2287
1638667,david,allison,ryde,2112
4563213,michael,tyralik,hope island,4212
753939,sheau,young,west lakes,5021
2179351,dinh,andreazza,willbriggie,2680
4866331,heinz,molnar,gosnells,6110
6054173,stella,mcintosh,parramatta,2150
6529310,josephine,tindall,cecil park,2171
1573155,lynda,smith,o'connor,2602
6062372,hugh,tran,girrawheen,6064
2629928,cecilia,boogrey,werribee,3030
6873390,leanne,wilson,eganstown,3461
6619440,barbara,mckee,oak park,3046
6799678,stephen,hoskin,buderim,4556
1884480,ellen,grace,coburg,3058
6594887,gabrielle,chalmers,springwood,4127
6668617,ian,millar,boonah,4310
4784460,patricia,robinson,sandringham,3191
4940111,keva,kelsey,reynella east,5161
5333328,annmaree,needham,taylors lakes,3038
3834199,david,wilson,hillarys,6025
6906202,tabitha,cvjetanovski,dandenong,3175
2056539,louise,mcvinish,yeronga,4104
6750556,graeme,craig,safety beach,2456
147812,rene,simkins,beatrice river,4886
5734762,gary,stuart,lismore heights,2480
6406511,deanna,rainbird,caloundra west,4551
3072381,eli,donkin,raymond terrace,2324
778623,safa,ok,parramatta,2150
5128576,peter,gardner,lenswood,5240
2744384,noel,allan,bundaberg,4670
1925512,coralyn,martin,raceview,4305
631183,barry,mccahon,bardon,4065
1532308,yvonne,bowerman,south fremantle,6162
3981719,elizabeth,szekely,umina,2257
5693849,joan,simpson,cowaramup,6284
6496666,michelle,madden,orford,7190
5939617,kerry,blain,durack,4077
6234531,malcolm,buxton,kandanga upper,4570
4497830,gary,allen,pearl beach,2256
1941928,lynley,coote,parkinson,4115
2335145,chang,cream,capel,6271
5513642,garry,elder,macleod,3085
3604916,phillipa,akle,annandale,2038
5226933,graham,howatt,taylors lakes,3038
2912329,darren,nevinson,rye,3941
2900417,john,sommers,clonbinane,3658
4268484,phyllis,bergman,vaucluse,2030
2538230,maree,tan,chirnside park,3116
6067617,michael,rigney,daymar,4497
1221065,thorsten,rajah,williamstown,3016
4751818,megan,cahalane,sunnybank,4109
3924432,donna,mills,oxley,4075
3572180,josephine,saulwick,foster,3960
6693335,victor,dobbie,brassall,4305
6423000,david,miller,middle cove,2068
1458649,paul,newton,morayfield,4506
6316508,laurraine,allum,reservoir,3073
5145060,andrew,maddick,rasmussen,4815
2949607,donna,calabria,benerembah,2680
909805,karen,mason,mandurah,6210
4628979,phillip,reeves,yapeen,3451
5849594,lilly,gillard,moorebank,2170
270421,srinath,sanders,robinvale,3549
5218818,roger,merfield,moonee ponds,3039
3138053,tonia,weekes,evandale,7212
1532428,kiran,north,woodford,4514
2466317,lynette,michale,thomastown,3074
2605586,glennis,allahwala,west pymble,2073
1262104,geoffrey,cerda-pavia,eltham,3095
5169689,elaine,kol,st johns park,2176
3326497,massoud,brown,deagon,4017
3523107,joy,mahama,croydon south,3136
2050822,rebecca,kamelski,para hills west,5096
5972518,sandra,vernon,balwyn north,3104
3097128,josephine,geoghegan,moulden,0830
5014963,pia,hawkeswood,heidelberg west,3081
3331508,sabri,elliott,vermont,3133
4227642,john,carroll,coombabah,4216
2187836,eva,britten,alawa,0810
631360,angelina,lucato,malvern east,3148
4252226,beth,swift,wittenoom,6752
5262091,dean,vanderplas,rowes bay,4810
344647,ronald,haigh,culburra,2540
2146891,darryl,oberman,erina,2250
533071,evan,leahy,cootamundra,2590
696918,greg,klinker,panania,2213
5497431,david,tomkins,springwood,2777
4776537,john,kofoed,killarney vale,2261
6521437,greg,stecenko,berala,2141
5276256,andrew,abel,bendigo,3550
1499748,janine,o'shannassy,blackburn,3130
5874277,elisa,salmon,broadmeadow,2292
1794669,sophia,robertson,bairnsdale,3875
17009,marjorie,bain,broadbeach waters,4218
4563570,brigitte,ismailovski,sunshine,3020
3883640,simon,lawrence,aitkenvale,4814
4956799,robert,stewart,leeton,2705
2220675,amanda,cluse,mansfield park,5012
5587593,evelyn,steinke,lake albert,2650
1335947,suzanne,jenkinson,kings langley,2147
6324882,delwynn,thomas,sandgate,4017
5170627,noel,roseburgh,hamlyn heights,3215
1680027,leo,cole,mount whitestone,4347
3080860,jane,hill,acacia ridge,4110
3818142,christopher,picone,main beach,4217
1516192,garry,wood,toogoolawah,4313
3469424,yan,carrett,woonona,2517
4170406,duoung,story,cheltenham,3192
2491047,kevin,pipe,emerald,3782
417107,john,raiti,feluga,4854
3908269,jacqueline,walters,chadstone,3148
2474670,steven,ngahoota,footscray,3011
2974387,brian,mccay,holloways beach,4878
2335412,elaine,beard,inala,4077
2532809,maria,bentley,highton,3216
5759672,donald,donkin,halls head,6210
3760827,gem,srivastava,epping,2121
1737405,biruta,ho,montrose,7010
3908289,andrew,mccann,moama,2731
5538500,dean,christodoulou,red hill,2603
6857413,tony,schuetz,mount bryan,5418
6628039,paul,cann,toongabbie,2146
5939915,peter,airdrie,berwick,3806
4637391,nicholas,coxall,williamstown,3016
6480592,jeffrey,leonard,cremorne,2090
1360597,david,jaskiewicz,mitcham,3132
6128343,mark,bibby,stawell,3380
3056354,nasreen,clarke,secret harbour,6173
5358307,rhonda,wilkes,roxburgh park,3064
2351846,hana,mckenzie,footscray,3011
5997288,oi,jones,balwyn north,3104
6234857,meryl,napper,garran,2605
4801260,patricia,kwong,connells point,2221
557805,lynda,truman,bellbird park,4300
6406894,cobus,pretty,wodonga,3690
1458927,wei,hunt,spencers brook,6401
6308592,lephia,stanley,clayfield,4011
5440248,ho,pfeffer,ashgrove,4060
2294526,ainsley,baker,kaleen,2617
172802,petrus,winton,mackay,4740
5972740,caroline,fay,gilberton,5081
3269381,lynne,marks,drysdale,3222
6161160,kathryn,heath,kimba,5641
3853100,june,bellino,keilor park,3042
1868554,theo,faulkner,ardmona,3629
3023628,lorenzo,thomson,porepunkah,3740
4842253,matthew,mitchell,repton,2454
6292238,jackson,young,croydon,3136
4416273,amye,pfundt,norwood,7250
2138898,brenda,holt,olinda,3788
3932954,leah,dyball,myrtleford,3737
4850459,annette,clarke,cairns,4870
6529822,leonie,aston,clarence park,5034
721696,jennifer,bridge,goonellabah,2480
6267684,john,green,prospect,5082
1819429,cletus,onions,wetherill park,2164
623412,craig,broadbent,heyfield,3858
3220282,john,morris,flagstaff hill,5159
5369646,johannes,street,blackburn,3130
2810684,garry,hannan,gympie,4570
1467200,michael,lingham,watsonia,3087
6005576,yin,naomis,tuart hill,6060
6595403,barbara,prout,cohuna,3568
1635810,james,camm,greenway,2900
328527,robabeh,clark,mount nelson,7007
918353,graeme,corrao,white gum valley,6162
320339,wendy,baksheev,vermont south,3133
4457301,ruth,davison,parkes,2870
4006749,juanito,denton,southport,4215
6210398,brenda,morgan,morwell,3840
2466655,peter,dalgleish,ararat,3377
6021985,carol,gill,bellbird park,4300
811879,jennifer,mackenzie,londonderry,2753
3392364,graeme,bayliss,woodville park,5011
2841405,barbara,petrides,marden,5070
3892080,mary,xiao,rockdale,2216
6701938,alan,kelly,kialla,3631
2499445,delwyn,bumble,hughenden,4821
5907323,arthur,cameron,idalia,4811
598910,nerys,zauch,para hills,5096
5022591,katherine,dolbey,kings meadows,7249
6644609,donna,hotston,cheltenham,3192
1155971,diane,donohoo,kedron,4031
5383044,chris,johnston,doncaster east,3109
353157,rita,gambell,hornsby,2077
5473158,kathleen,powell,blackmans bay,7052
1147783,virginia,brown,joyner,4500
5661577,brett,wood,tuart hill,6060
5251978,joseph,wood,emu plains,2750
5481368,denise,jones,glen alpine,2560
3711897,murray,bonakder,blackburn,3130
5047195,margaret,kerrigan,upper coomera,4210
4121503,sharon,sal,broadmeadows,3047
3023779,felicity,golding,rockhampton,4700
4522918,ricardo,howie,warracknabeal,3393
3433387,wa,newcombe,gisborne,3437
418736,jennifer,martinis,northcote,3070
500657,pamela,shanahan,wagga wagga,2650
5276598,margaret,blackmore,kurri kurri,2327
967607,ruth,pearson,mount waverley,3149
4146105,graham,fishburn,panania,2213
1958843,sing,smyth,orford,3284
2068640,gail,allen,richmond,3121
1303494,nada,leigh,dubbo,2830
2368455,intrerim,murphy,wembley downs,6019
1682252,filio,mcara,lane cove,2066
5637069,domenico,myatt,bundaberg,4670
5563342,fiona,grivas,monterey,2217
5759958,tchim,carr,alice springs,0870
6218712,maria,georgiev,mill park,3082
910299,anthony,korb,hazelbrook,2779
6226909,margaret,sequeira,hughes,2605
1926113,laura,adams,townsville,4810
5612514,dennis,van dort,glen waverley,3150
5284841,fiona,grund,glen iris,3146
1328106,geoffrey,hornery,emerald,4720
5317612,hao,hutton,ballarat,3350
418802,harry,mercieca,richardson,2905
1844212,tanya,moran,shenton park,6008
4711413,tracey,conradi,cromer,2099
6382582,eva,sharp,queenscliff,2096
4441089,penelope,trelor,kellerberrin,6410
6587394,betty,pryor,captains flat,2623
3351557,allan,porter,miranda,2228
6513670,ann,dou,chipping norton,2170
582664,gregory,kelly,portland,3305
1786890,eileen,zeller,aldershot,4650
746509,denis,phillips,tumbi umbi,2261
2581520,kerry,clark,highfields,4352
3015706,michael,mccabe,enfield,5085
730141,humberto,szylarski,traralgon,3844
3146786,geoffrey,gregson,auburn,2144
984106,noel,rowan,mount eliza,3930
5653550,judith,capon,loch sport,3851
869424,anne,pushpa,gympie,4570
500786,ricardo,fauvel,black rock,3193
836670,vanita,o'conner,delacombe,3356
140355,robin,nitz,tarragindi,4121
4580420,heather,jarvis,latrobe,7307
918597,geeta,grant,broadbeach waters,4218
6069089,anastasia,hsu,robertson,4109
5219407,valerie,slack,black hill,2322
4777042,peris,larcombe,kambah,2902
3769429,jeremy,ljubic,wanniassa,2903
5219416,david,santillo,henley beach south,5022
3064923,deborah,wright,toolooa,4680
9308,donna,aldridge,ararat,3377
418910,janet,smith,sunnybank hills,4109
386143,althea,king,burwood east,3151
3621986,barbara,mascord,isabella plains,2905
2154683,betty,turner,monash,2904
1565796,robert,harkin,brunswick,3056
6685800,david,brock,beverly hills,2209
6145132,olga,danatzis,bundoora,3083
6382701,betty,patterson,dunlop,2615
2352242,fatme,tucker,point clare,2250
5702771,maurizio,albury,wyoming,2250
4277378,stuart,moss,morningside,4170
2360452,eeva,cox,lavington,2641
5883017,adrian,kemp,korumburra,3950
6767757,kendall,crawford,eton,4741
1377424,roy,kelly,beaumaris,3193
6112406,thu,buck,geelong east,3219
1172640,gregory,webb,leanyer,0812
2663585,lisa,siddique,st leonards,2065
1762471,daniel,chapman,epping north,2121
1074350,bernard,thomas,ivanhoe,3079
1369268,mary,hampson,bulli,2516
5924382,paul,riddiford,fisher,2611
1860791,maureen,clark,narraweena,2099
451769,sharon,perry,strathewen,3099
2884794,lyndall,hawkins,nundle,2340
4867272,rosemary,kaylock,kooringal,2650
427210,marcelle,frazer,college park,5069
3564750,jacine,brookes,east sydney,2010
5039312,allan,harney,armidale,2350
4195537,irene,matcham,mandurah,6210
3531989,wendy,mcfarland,tuncurry,2428
1205462,emma,hafner,greenbank,4124
5285085,maria,cochrane,koo wee rup,3981
222445,edna,lee,hyden,6359
3564782,robert,antico,frenchs forest,2086
887677,ngaio,lock,aspley,4034
4375793,laura,littler,perth,6000
1631480,gary,mac ritchie,cardiff south,2285
2204923,philip,bond,monash,2904
1033470,violet,de molina,dianella,6059
5924098,george,dixon,mount annan,2567
6440195,oscar,donnelly,moruya,2537
3613956,phong,evans,port melbourne,3207
6265729,cameron,stockwell,sunlands,5330
5784840,david,illeperumade,hillside,3037
1230094,john,talent,buchfelde,5118
6161679,suzanne,theologos,richmond,3121
5383442,peretz,nguyen,braybrook,3019
517396,brigitte,ramage,mulbring,2323
6079770,anthony,bennett,batehaven,2536
5727522,wing,martinez,camperdown,2050
6694182,lesley,zhao,labrador,4215
3818792,karen,gipp,bentleigh east,3165
58665,anthony,scrine,tumbi umbi,2261
3032368,athol,livnjak,nollamara,6061
5899572,ciaran,smith,elliston,5670
5719349,david,murphy,copacabana,2251
6415671,ruth,chen,north melbourne,3051
5350714,lynette,dunlop,maryborough,3465
3279754,anita,wong,mount waverley,3149
1451329,nada,taseski,nicholls,2913
34116,margaret,ralston,wangaratta,3677
5965127,colin,o'brien,amaroo,2914
6423881,kathryn,teague,upper orara,2450
3368270,graeme,lenox,coal point,2283
345427,deborah,moore,cessnock,2325
4785502,freda,robinson,broadford,3658
4891999,marion,lyon,north rockhampton,4701
2164065,patricia,morey,watson,2602
3286371,janice,brimmer,bardwell valley,2207
4949354,michael,miranda,kempsey,2440
5580140,brian,cottrell,howard,4659
2770287,brian,patterson,ferny hills,4055
6063472,louis,craft,kippa-ring,4021
4892017,john,hill,kardinya,6163
1525115,sheree,patrick,st albans,3021
5507989,craig,rice,parkinson,4115
1222016,robert,stafford,frankston,3199
3425666,colin,reischel,warburton,3799
1435012,paul,lapham,tamworth,2340
3384897,margaret,hausefeld,gunnedah,2380
5424523,helen,james,currimundi,4551
4322882,jennifer,evans,nimmitabel,2631
4212111,patricia,emmett,broken hill,2880
1861014,michelle,thompson,merewether,2291
1271194,kitchener,walker,frankston,3199
1820059,nicola,lenehan,baan baa,2390
6514080,christine,lim,middle ridge,4350
419239,ravi,duffy,fairlight,2094
4720043,lachlan,porter,kempsey,2440
5440940,william,rowe,delacombe,3356
4556206,greg,campbell,forster,2428
2274888,kelvin,moore,the gap,4061
4253107,barbara,kruger,maryborough,4650
1092510,darren,galuszka,campsie,2194
2389577,peter,forsythe,bilgola,2107
3016120,eldon,knight,taringa,4068
2909629,sarah,musgrove,bendigo,3550
6115573,joan,howell,ningi,4511
6522306,roslyn,tsotsos,melton,3337
6596035,victor,soutar,hadfield,3046
3474885,beverley,davidson,noosa heads,4567
4253129,trevor,wilkinson,kundabung,2441
4154826,john,fier,concord,2137
5776847,jill,perryman,boort,3537
1009107,james,neimanias,cleveland,4163
5031388,francis,scholten,newport,3015
5759226,sarah,lavell,buchan,3885
2403237,elsa,beaton,burra creek,2620
594171,anne,outhwaite,maryborough,4650
4571388,kerry,young,burwood,3125
1099243,rosemary,smith,quirindi,2343
58860,julie,molnar,altona,3018
1902067,rex,holt,annandale,2038
5563894,georgina,hollis,moss vale,2577
1610783,sigurd,bushby,hallam,3803
1009146,damien,lacey,nhulunbuy,0880
5441019,william,tsatas,kingsbury,3083
1538,reona,powe,bayview heights,4868
4015622,elaine,ergos,marrickville,2204
2958856,lynne,hendriksen,lyndhurst,3975
5220979,beth,smith,kinross,6028
4531723,susan,duffy,werrington,2747
740269,patrick,naiker,lara,3212
1885713,john,hall,essendon,3040
2295323,delores,rebello,gosnells,6110
5088798,marjorie,hancock,deception bay,4508
3171871,johan,ryan,applecross,6153
3343905,rodney,miyashita,forestville,2087
1086545,khulod,mcdonald,raymond terrace,2324
1697320,lynne,cowdrill,bellevue hill,2023
1672747,nisha,kliem,enfield,5085
3622444,kenneth,blezard,cloncurry,4824
6071854,robyn,hargaden,alexandra hills,4161
4744751,ewan,thompson,budgewoi,2262
2523400,philip,grantham,port augusta,5700
6876083,giuliana,hood,yahl,5291
1828405,kirstin,puntar,wonthaggi,3995
1017399,wayne,oates,kingston,7051
2901561,richard,keros,port adelaide,5015
4859450,sharon,butler,tangambalanga,3691
4326973,lisa,boxshall,koondoola,6064
5473857,robyn,ruddle,fairfield,4103
3245638,anna,hockings,ashfield,2131
2590284,tina,teng,bull creek,6149
984654,colyn,piromalli,wanniassa,2903
6907471,angela,charlton,paddington,4064
542293,jan,greenmount,collie,6225
419415,kay,atici,noble park,3174
1640028,belinda,cooper,yokine,6060
2967140,deborah,king,ulverstone,7315
1967718,gareth,guenzel,ocean grove,3226
6227560,donna,dyer,oakleigh south,3167
3130986,rebecca,spencer,goolwa,5214
5359216,darryl,noakes,nollamara,6061
4302450,tekhort,crosby,warrenup,6330
6086931,debbie,mcintyre,malvern east,3148
6022772,heather,mercuri,castlemaine,3450
1214058,tony,weir,gowrie,2904
1410686,megburran,marino,exeter,5019
3942019,patrica,hattenfels,manly,2095
2918026,cecily,ravalli,preston west,3072
1623692,han,pyers,bunbury,6230
1255057,jennifer,bradford,berwick,3806
6022803,jacqueline,tilt,st james,6102
1161564,gisela,mayhew,ulverstone,7315
6317725,fann,hamilton,rous mill,2477
386723,sauleha,bout,sydenham,3037
5613226,graeme,potts,boulder,6432
1296048,bernard,morton,padbury,6025
1132212,leo,conway,cranbourne,3977
3745461,ying,orahen,canley vale,2166
6358716,jacques,granwal,balgowlah,2093
2762437,david,molina,leichhardt,2040
3917517,ethel,tozer,berala,2141
2148050,paula,sayers,lauderdale,7021
3334435,ann,esdaile,castle hill,2154
2598613,janine,osborne,glen iris,3146
1795802,dawn,saunders,north rockhampton,4701
6417359,valerie,monaghan,brundee,2540
4671197,robert,kercher,bairnsdale,3875
648926,anne,burroughs,mariginiup,6065
5138143,julie,digby,mount hutton,2290
288483,josephine,blackburn,st clair,2759
591595,judith,smith,hampton park,3976
4826861,lily,evans,west end,4101
6285038,hiep,piper,booyong,2480
3745523,paul,sherrah,lane cove,2066
1844984,miho,bronier,newport,2106
853753,ingrid,apps,bankstown,2200
2328326,lorraine,deacon,taringa,4068
26376,keith,anota,gatton,4343
2803466,joseph,suryo,kingsford,2032
3368716,jeanette,jardim,punchbowl,2196
1476365,yvonne,edols,forbes,2871
2492176,mian,cooper,tamworth,2340
3884817,robin,watts,wodonga,3690
5719828,mark,sparke,windsor,4030
689941,erin,toogood,orange,2800
1304343,gloria,keshvari,reservoir,3073
3663642,peris,childs,parkinson,4115
6416155,grace,christensen,balingup,6253
184625,elaine,fara,noble park,3174
5080879,joseph,hallaways,tumbi umbi,2261
6833969,trudy,wegner,gatton,4343
3049274,sharlene,lipski-geminder,seventeen mile rocks,4073
6752059,linda,mcphie,wangaratta,3677
1050428,lance,smith,dubbo,2830
5474109,vicki,andrews,ocean shores,2483
6113087,george,pace,wantirna,3152
2975553,rosemarie,choi,sydney,2000
6301509,sharinna,donaldson,norwood,5067
4532046,james,sheedy,stanmore,2048
1048911,meghan,luccitti,mount eliza,3930
26451,julie,lord,whyalla norrie,5608
1115999,kelli,scala,donald,3480
4294498,eliza,trigg,portland,3305
4153995,deborah,johnson,bracken ridge,4017
1361769,george,mcneilly,mackay,4740
3114859,diane,langham,woodford,4514
3712882,maryann,crisafulli,mooroolbark,3138
968339,irene,dwyer,ballarat,3350
4073332,robyn,paulin,ascot park,5043
2058102,darrin,capps,narrawallee,2539
5236601,myles,alfirevich,bentley,6102
935806,ilario,fry,eschol park,2558
4867968,gwen,goodall,redmond,6327
3543360,steven,kerr,elizabeth grove,5112
3532683,thomas,harden,bogangar,2488
4671374,david,davies,yanchep,6035
4966287,elizabeth,marsic,currambine,6028
3426206,peter,atkinson,port macquarie,2444
2451366,robert,jolly,bordertown,5268
633841,beverley,crocker,ballarat,3350
944041,juan,evans,sale,3850
1107883,deborah,tresize,long gully,3550
4482990,margaret,rowe,naracoorte,5271
5425072,peter,maguire,epping,2121
3925941,henry,kent,ararat,3377
6416311,elizabeth,day,boulder,6432
5597125,keo,schwarz,kenwick,6107
6686667,anatoly,gilmour,merewether,2291
6817741,harry,mcnab,bathurst,2795
427982,carl,vella,north perth,6006
1648603,james,dare,rockingham,6168
3663841,david,dunn,hazelwood south,3840
1968099,anne,sherwood,holder,2611
5867495,stefan,block,horsham,3400
1249618,paul,goodlich,bayswater,6053
6252530,greville,nicholson,double bay,2028
1411060,christine,wilson,auburn,2144
5889022,hilary,heaven,campbelltown,5074
4827131,alexander,watt,doonside,2767
5597186,ronald,semecka,caulfield north,3161
3016708,kym,arthur,tamworth,2340
6547461,ha,abdoalla,auburn,2144
4204550,sonya,wallis,thornlands,4164
4655111,guy,ballagh,williamstown,3016
4876298,kathryn,bull,clifton springs,3222
6006795,mark,mcmunn,godwin beach,4511
1812492,wayne,kell,summer hill,2130
3172367,michael,mitchell,bald hills,4036
5810192,reginald,golding,ainslie,2602
6563858,jeffrey,mcdonald,nowra,2541
3287060,sing,carless,seaforth,2092
5924887,mile,tough,warwick,4370
1116192,peter,cooper,woodside,3874
5207728,jeffrey,seach,raby,2566
1933659,rhonda,lynch,canungra,4275
4753448,miklos,stevenson,lindfield,2070
3246122,patricia,hogg,bellevue hill,2023
1665068,sofia,maddalena,rockingham,6168
837684,peter,stribbling,karrinyup,6018
6771038,mark,kim,thornleigh,2120
526391,kathleen,stewart,ningi,4511
5802050,precioso,ings,burleigh heads,4220
3344451,david,coates,st arnaud,3478
1812554,catherine,o'donoghue,sorrento,6020
2541645,graeme,townsend,sheidow park,5158
813140,leonie,walker,deniliquin,2710
285710,sopholes,edgar,coffs harbour,2450
2132054,patricia,marty,evans head,2473
3844187,maria,hui,balwyn,3103
5982300,allan,clune,belmont,6104
1288291,louise,hannaford,hawthorn east,3123
215141,hoa,stephenson,highfields,4352
1198183,gail,drew,mount eliza,3930
5195884,colin,faulkner,mount pleasant,6153
6760557,malcolm,dawson,bundoora,3083
3827822,johnny,molloy,chain valley bay,2259
3795055,richard,hsu,melbourne,3000
2238577,gail,smith,dee why,2099
3139698,alan,hickf,coombabah,4216
5392500,yvette,stanes,springvale south,3172
2697337,andrew,rubel,bondi,2026
6441088,janet,blaess,highgate hill,4101
18564,maria,aldous,randwick,2031
1697925,beverley,barrett,dubbo,2830
5728393,tamara,evans,shepparton,3630
6491159,glenn,russell,avalon,2107
1750723,melissa,stonehouse,the vines,6069
1616022,shanin,willis,north ipswich,4305
247963,sandra,blakeley,caulfield south,3162
2918558,leanne,winchester,harbord,2096
2468002,maria,mitchell,broken hill,2880
3369127,phillip,hurst,mount gambier,5290
3983533,anne,avelar,lakemba,2195
5802159,samantha,brooks,blakehurst,2221
5813960,frederick,dean,southend,5280
2650483,yi,morris,castle hill,2154
5236929,mark,cormie,hackney,5069
5114056,jacqueline,burnane,mirrabooka,6061
2992329,jane,arslan,mildura,3500
1156946,fiorevante,goldsworthy,prospect,5082
6588639,lisa,barnes,tara,4421
6490336,rachel,morgan,mount isa,4825
813513,cheryl,stephens,para hills west,5096
2525411,barry,sana,glen waverley,3150
755949,elizabeth,gabriel,bayswater,3153
4262126,dorothy,kensit,tamworth,2340
6469331,dalia,stewart,lota,4179
1739001,philip,potter,marble bar,6760
3410170,john,brown,berwick,3806
2893525,neil,gleen,clareville,2107
6097153,clare,boyd,narwee,2209
1902851,william,gray,davidson,2085
3254537,ethel,foo,beckenham,6107
3880663,warren,hutchinson,berkeley,2506
6416653,suzanne,boyd,greensborough,3088
5777678,keith,eiesland,fortitude valley,4006
2648335,lorna,newton,mundaring,6073
1648913,anna,webber,mount isa,4825
2870022,inderpal,loose,basket range,5138
2574611,ting,wollenberg,north adelaide,5006
5720342,david,pavy,blair athol,5084
723229,john,evans,broadford,3658
1198369,john,nguyen,glenroy,3046
2771234,david,wann,casino,2470
1255719,kawasaki,musgrove,long jetty,2261
4914226,lucille,van,kingsgrove,2208
5581104,karen,luckens,willunga,5172
6400305,simone,turner,greensborough,3088
239922,arthur,smith,barwon heads,3227
182583,terry,whitty,loganholme,4129
1378616,gail,page,werribee,3030
6408505,joyce,mihalj,hillside,3037
5089598,leonore,young,north melbourne,3051
289093,graham,lambros,ivanhoe,3079
6342985,ian,taylor,kewarra beach,4879
2009422,richard,williams,biloela,4715
3664207,rosanna,doggett,appin,2560
6813411,yee,brown,ebbw vale,4304
330085,con,marturano,st albans,3021
2937675,kristen,card,buderim,4556
349927,patricia,chandler,wonthaggi,3995
6392173,keith,hardy,alstonville,2477
6023534,luigi,heard,natimuk,3409
2222447,jilpia,houghton,bentleigh,3204
1911154,vera,burnett,southport,4215
6400379,ann,symeonidis,bentleigh,3204
5802364,geoffrey,houston,hoppers crossing,3029
5761407,merle,russell,park orchards,3114
4393344,susan,mckinnon,vaucluse,2030
3279238,ming,murraylee,wodonga,3690
1943943,stephanie,prodanovski,somerton park,5044
2156946,yong,currey,wauchope,2446
334240,barry,hansby,scoresby,3179
3983765,gerada,sasim,ashbury,2193
6613399,gabrielle,wilkinson,keilor,3036
2140568,dorothy,bell,narrabri,2390
6203801,brent,wood,wodonga,3690
2654618,simon,campbell,hornsby heights,2077
3443109,john,dighton,augathella,4477
5499304,traecey,turra,trafalgar,3824
2419116,chen,baker,adelaide,5000
4721069,svana,webb,kangaroo ground,3097
141742,samir,duffie,brukunga,5252
5990836,jillian,tarratt,devonport,7310
5376441,ana,wace,bellthorpe,4514
5917116,kau,trinh,lakemba,2195
4925888,wendy,dellar,doncaster east,3109
3475909,lee,margiotta,five dock,2046
2877897,karen,marshall,sandringham,3191
4286925,james,bailey,diamond creek,3089
355406,damien,tortike,kennedy,4816
3975638,andrew,francis,richmond,3121
5138904,chester,curtis,mona vale,2103
862681,antonio,mccall,wonthaggi,3995
338394,julie,hawkins,ormiston,4160
5327330,michelle,haggard,kingsley,6026
6703587,sarel,shanahan,palm beach,4221
3443793,justine,hunter,bundall,4217
5622253,eva,connell,carlingford,2118
4852214,laurel,lightfoot,earlwood,2206
4360703,david,shafik-eid,coburg,3058
354817,kay,fisher,ingleburn,2565
